archetype,name,trades,products
FB,full-build,all trades EXCEPT pool-installation and decking-fences,≈ all 27
LANE,laneway/garden-suite,≈ full-build set (small dwelling — all structural + interior-finish trades),≈ all material + site-prep/maintenance
ADD,addition,"site-prep, excavation, shoring, concrete, structural-steel, framing, masonry, roofing, glazing, eavestrough-siding, plumbing, hvac, electrical, fire-protection, insulation, drywall, flooring, painting, trim-work, demolition, waterproofing, decking-fences, caulking, drain-plumbing, overhead-doors, site-maintenance","lumber, exterior-cladding, scaffolding-lifts, roofing-materials, windows, eavestroughs, plumbing-fixtures, hvac-equipment, lighting, insulation-materials, drywall-board, paint, doors, garage-doors"
BAS,basement-reno,"site-prep, excavation, shoring, concrete, waterproofing, framing, drain-plumbing, plumbing, hvac, electrical, insulation, drywall, tiling, flooring, painting, trim-work, demolition, site-maintenance","lumber, plumbing-fixtures, hvac-equipment, lighting, insulation-materials, drywall-board, tiling, flooring, paint, doors, staircases, bin-rental"
KIT,kitchen-reno,"plumbing, electrical, drywall, tiling, flooring, painting, trim-work, millwork-cabinetry, stone-countertops, site-maintenance","kitchen-cabinets, countertops, appliances, plumbing-fixtures, lighting, tiling, flooring, paint, doors, staircases, drywall-board, bin-rental"
BTH,bathroom-reno,"plumbing, electrical, drywall, tiling, flooring, painting, trim-work, millwork-cabinetry, stone-countertops, caulking, site-maintenance","plumbing-fixtures, tiling, lighting, flooring, paint, countertops, kitchen-cabinets(vanity), drywall-board, bin-rental"
INT,interior-reno,"demolition, framing, electrical, drywall, glazing, tiling, flooring, painting, trim-work, millwork-cabinetry, security, caulking, site-maintenance","lumber, lighting, drywall-board, windows, mirrors-glass, tiling, flooring, paint, doors, staircases, kitchen-cabinets, countertops, bin-rental"
ENV,envelope-exterior,"masonry, roofing, glazing, insulation, eavestrough-siding, solar, caulking","exterior-cladding, scaffolding-lifts, roofing-materials, windows, mirrors-glass, eavestroughs, insulation-materials"
MEC,mechanical-upgrade,"plumbing, hvac, electrical, fire-protection, security, drain-plumbing","plumbing-fixtures, hvac-equipment, lighting"
SITE,site-landscape,"site-prep, excavation, concrete, framing, drain-plumbing, landscaping, decking-fences, pool-installation, overhead-doors","lumber, garage-doors, surveying, tree-removal, temp-fencing-rental, portable-toilet"
GAR,garage/accessory,"site-prep, excavation, concrete, framing, masonry, roofing, glazing, electrical, eavestrough-siding, demolition, overhead-doors, site-maintenance","lumber, exterior-cladding, scaffolding-lifts, roofing-materials, windows, lighting, eavestroughs, garage-doors"
