id,slug,type
1,kitchen-cabinets,material
2,appliances,material
3,countertops,material
4,plumbing-fixtures,material
5,tiling,material
6,windows,material
7,doors,material
8,flooring,material
9,paint,material
10,lighting,material
11,lumber,material
12,drywall-board,material
13,roofing-materials,material
14,eavestroughs,material
15,staircases,material
16,mirrors-glass,material
17,garage-doors,material
18,hvac-equipment,material
19,insulation-materials,material
20,exterior-cladding,material
21,bin-rental,rental
22,portable-toilet,rental
23,scaffolding-lifts,rental
24,temp-fencing-rental,rental
25,surveying,service
26,tree-removal,service
27,site-security,service
