band,id,trade,kind,phase,bimodal,cost_basis,products,archetypes
1 site-setup,36,site-preparation,service,early_construction,N,fixed,"portable-toilet (22), temp-fencing-rental (24), surveying (25), tree-removal (26)","FB, ADD, BAS, LANE, GAR, SITE"
2 teardown,18,demolition,construction,early_construction,Y,per_sqft,,"FB, ADD, BAS, INT, GAR, LANE"
3 earthwork,1,excavation,construction,early_construction,Y,per_sqft,,"FB, ADD, BAS, SITE, LANE, GAR"
3 earthwork,2,shoring,construction,early_construction,Y,per_sqft,,"FB, ADD, BAS, LANE"
4 foundation,3,concrete,construction,early_construction,Y,per_sqft,,"FB, ADD, BAS, SITE, LANE, GAR"
5 seal+drainage,20,waterproofing,construction,early_construction,Y,per_sqft,,"FB, ADD, BAS, LANE"
5 seal+drainage,32,drain-plumbing,construction,early_construction,Y,per_sqft,,"FB, ADD, BAS, SITE, MEC, LANE"
6 structure,4,structural-steel,construction,structural,Y,per_sqft,,"FB, ADD"
6 structure,5,framing,construction,structural,Y,per_sqft,lumber (11),"FB, ADD, BAS, INT, SITE, LANE, GAR"
7 dry-in,7,roofing,construction,structural,Y,per_sqft,roofing-materials (13),"FB, ADD, ENV, LANE, GAR"
7 dry-in,6,masonry,construction,structural,Y,per_sqft,"exterior-cladding (20), scaffolding-lifts (23)","FB, ADD, ENV, LANE, GAR"
7 dry-in,26,eavestrough-siding,construction,structural,Y,per_sqft,"eavestroughs (14), exterior-cladding (20), scaffolding-lifts (23)","FB, ADD, ENV, LANE, GAR"
7 dry-in,16,glazing,construction,structural,Y,per_unit,"windows (6), mirrors-glass (16)","FB, ADD, ENV, INT, LANE, GAR"
7 dry-in,28,solar,construction,structural,Y,per_unit,,"ENV, FB, LANE"
7 dry-in,31,caulking,construction,structural,Y,per_sqft,,"FB, ADD, ENV, BTH, INT, LANE"
8 rough-in,8,plumbing,construction,structural,Y,per_sqft,plumbing-fixtures (4),"FB, ADD, BAS, KIT, BTH, MEC, LANE"
8 rough-in,9,hvac,construction,structural,Y,per_sqft,hvac-equipment (18),"FB, ADD, BAS, MEC, LANE"
8 rough-in,10,electrical,construction,structural,Y,per_sqft,lighting (10),"FB, ADD, BAS, KIT, BTH, INT, MEC, LANE, GAR"
8 rough-in,11,fire-protection,construction,structural,Y,per_sqft,,"FB, ADD, MEC"
9 insulate,12,insulation,construction,structural,Y,per_sqft,insulation-materials (19),"FB, ADD, BAS, ENV, LANE"
10 drywall,13,drywall,construction,structural,Y,per_sqft,drywall-board (12),"FB, ADD, BAS, KIT, BTH, INT, LANE"
11 interior-finishes,23,tiling,construction,finishing,Y,per_sqft,tiling (5),"FB, KIT, BTH, BAS, INT, LANE"
11 interior-finishes,15,flooring,construction,finishing,Y,per_sqft,flooring (8),"FB, ADD, BAS, KIT, BTH, INT, LANE"
11 interior-finishes,14,painting,construction,finishing,Y,per_sqft,paint (9),"FB, ADD, BAS, KIT, BTH, INT, LANE"
11 interior-finishes,21,trim-work,construction,finishing,Y,per_sqft,"doors (7), staircases (15)","FB, ADD, BAS, KIT, BTH, INT, LANE"
11 interior-finishes,22,millwork-cabinetry,construction,finishing,Y,per_unit,"kitchen-cabinets (1), countertops (3), appliances (2), staircases (15)","FB, KIT, BTH, INT, LANE"
11 interior-finishes,24,stone-countertops,construction,finishing,Y,per_unit,countertops (3),"FB, KIT, BTH, LANE"
11 interior-finishes,17,elevator,construction,finishing,Y,per_unit,,"FB, ADD"
11 interior-finishes,34,overhead-doors,construction,finishing,Y,per_unit,garage-doors (17),"FB, ADD, SITE, GAR, LANE"
11 interior-finishes,29,security,construction,finishing,Y,fixed,,"FB, INT, MEC"
12 landscaping,19,landscaping,construction,landscaping,Y,fixed,,"FB, SITE, LANE"
12 landscaping,25,decking-fences,construction,landscaping,Y,per_sqft,lumber (11),"SITE, ADD"
12 landscaping,27,pool-installation,construction,landscaping,Y,fixed,,SITE
spans,37,site-maintenance,service,spans all,N,fixed,"bin-rental (21), site-security (27)","FB, ADD, BAS, KIT, BTH, INT, LANE, GAR"
lifecycle,33,realtor,persona,near-completion,N,commission,,ALL
— deprecated,30,temporary-fencing,deprecated,(unchanged),,,folded → site-preparation + temp-fencing-rental (24),
