trade_id,trade_slug,product_id,product_slug
5,framing,11,lumber
6,masonry,20,exterior-cladding
6,masonry,23,scaffolding-lifts
7,roofing,13,roofing-materials
8,plumbing,4,plumbing-fixtures
9,hvac,18,hvac-equipment
10,electrical,10,lighting
12,insulation,19,insulation-materials
13,drywall,12,drywall-board
14,painting,9,paint
15,flooring,8,flooring
16,glazing,6,windows
16,glazing,16,mirrors-glass
21,trim-work,7,doors
21,trim-work,15,staircases
22,millwork-cabinetry,1,kitchen-cabinets
22,millwork-cabinetry,3,countertops
22,millwork-cabinetry,2,appliances
22,millwork-cabinetry,15,staircases
23,tiling,5,tiling
24,stone-countertops,3,countertops
25,decking-fences,11,lumber
26,eavestrough-siding,14,eavestroughs
26,eavestrough-siding,20,exterior-cladding
26,eavestrough-siding,23,scaffolding-lifts
36,site-preparation,22,portable-toilet
36,site-preparation,24,temp-fencing-rental
36,site-preparation,25,surveying
36,site-preparation,26,tree-removal
34,overhead-doors,17,garage-doors
37,site-maintenance,21,bin-rental
37,site-maintenance,27,site-security
